name,phone,city,category
Appliance Repair Specialists Kleinmond,0662131493,hermanus,appliance-repair
Appliance Technicians,0218022813,cape-town,appliance-repair
Cape Appliance Repairs,0748473494,cape-town,appliance-repair
Cape Appliance Repairs Cape Town,0787678858,cape-town,appliance-repair
ISAK APPLIANCES REPAIRS PTY LTD,0697509720,cape-town,appliance-repair
CK Appliances Repairs,0715434774,cape-town,appliance-repair
FIXITT REFRIGERATION & APPLIANCE REPAIRS,0216993153,cape-town,appliance-repair
JAYCEE APPLIANCE REPAIRS,0817879953,cape-town,appliance-repair
RePair Team,0648185897,cape-town,appliance-repair
Troy Appliance Repairs,0672304634,cape-town,appliance-repair
Wynand Refrigeration Repair Strand,0727535301,cape-town,appliance-repair
Appliance repair cape town,0210101707,cape-town,appliance-repair
RDC TV and Appliance Repairs Centre,0219112183,cape-town,appliance-repair
Hermanus Appliance Repairs,0847804342,hermanus,appliance-repair
Zara Appliance repairs,0815640674,cape-town,appliance-repair
My Appliances Doctor,0839224664,cape-town,appliance-repair
Eagle Appliances Repairs,0843566917,cape-town,appliance-repair
AP Repair Centre On-Site Appliance Repairs,0676186990,cape-town,appliance-repair
001 APPLIANCE ON SITE REPAIRS,0828702955,cape-town,appliance-repair
Appliance Repairs Cape Town,0742795468,cape-town,appliance-repair
Appliance Repair Centre Bellville,0219461615,bellville,appliance-repair
Helderberg Home Appliance Sales Repairs & Salvage,0722612161,somerset-west,appliance-repair
Happy Appliances,0216908192,cape-town,appliance-repair
HDTV & appliance repair specialist Sandbaai,0824476941,hermanus,appliance-repair
Appliance Repair Cape Town Washing Machine Tumble Dryer,0761575653,cape-town,appliance-repair
Fridge repair and appliance cape town,0672231253,cape-town,appliance-repair
Golden Rewards Hermanus,0283124556,hermanus,appliance-repair
Appliance Repair Cape Town,0875510640,cape-town,appliance-repair
Appliance Clinic Bredasdorp,0824424607,cape-town,appliance-repair
Emergency repairs & solutions pty ltd,0837373802,cape-town,appliance-repair
Lizzy's Microwave Repairs,0724626569,cape-town,appliance-repair
Blessed appliance repairs,0761590030,cape-town,appliance-repair
Marvins Appliance Repairs,0603256033,cape-town,appliance-repair
Appliance repairs assistances,0725884702,cape-town,appliance-repair
Jackman Appliance Repairs,0218726315,paarl,appliance-repair
Robertson Appliance Repairs,0236266571,paarl,appliance-repair
KLEINMOND APPLIANCE REPAIR,0827816791,hermanus,appliance-repair
SmartAid Appliance repair,0797474424,cape-town,appliance-repair
Gas Appliances Doctor,0649940646,cape-town,appliance-repair
Francois Appliances Wellington,0792610813,paarl,appliance-repair
GW Appliance & Refrigeration Repairs,0828488862,cape-town,appliance-repair
K C DOMESTIC REPAIRS,0218626861,paarl,appliance-repair
S&H Electronic Services,0215915005,cape-town,appliance-repair
CC-Tronics,0218382399,cape-town,appliance-repair
Iceberg Technicians,0616105235,cape-town,appliance-repair
JP Refrigeration Western Cape,0746932303,cape-town,appliance-repair
Cobar Appliances,0828777687,cape-town,appliance-repair
G5 Refrigeration,0681515560,cape-town,appliance-repair
Teddy Appliance Repair,0846768434,cape-town,appliance-repair
Washing machine experts,0210233779,cape-town,appliance-repair
False Bay Refrigeration,0218516890,cape-town,appliance-repair
Wentzel Fridge and Appliance repairs,0838972928,cape-town,appliance-repair
Simply Fix Refrigeration & Appliance Repair,0646565241,cape-town,appliance-repair
Appliance Repairs James George,0716036322,george,appliance-repair
