name,phone,city,category
All In One Appliance Repair,0616113762,johannesburg,appliance-repair
Engage Electronics,0734379502,johannesburg,appliance-repair
Quick Appliances & Gas repairs & services,0722731728,johannesburg,appliance-repair
Bergen's Appliance Repairs Edenvale,0798840543,johannesburg,appliance-repair
Alberton Appliance Repairs,0723494747,alberton,appliance-repair
FRIDGE AND APPLIANCES REPAIR,0734255837,johannesburg,appliance-repair
Appliance repairs,0739386011,johannesburg,appliance-repair
Appliances Repair tv and audio,0735957616,johannesburg,appliance-repair
CBM APPLIANCES & ELECTRICAL REPAIRS,0784012996,johannesburg,appliance-repair
Bergen's Appliance Repairs & Spares Glenanda,0114361420,johannesburg,appliance-repair
L.K. Refrigeration & Appliance Repairs,0616101884,johannesburg,appliance-repair
Ol Appliance Man,0115682776,johannesburg,appliance-repair
Appliances Repairs,0659938976,johannesburg,appliance-repair
Better Appliance Care,0870931136,johannesburg,appliance-repair
Your #1 Appliance Repairs Affordable,0731090023,johannesburg,appliance-repair
Bergens Appliance Repairs Alberton,0118647406,alberton,appliance-repair
Gilbert Appliances Repairs 24/7,0651364825,johannesburg,appliance-repair
Universal Appliance Services,0783116655,johannesburg,appliance-repair
RJ Appliance Fix,0845783131,alberton,appliance-repair
Frank Appliance Repairs,0632223561,johannesburg,appliance-repair
Edy Appliance Repairs,0789556593,johannesburg,appliance-repair
MF Appliances,0724019736,johannesburg,appliance-repair
Same Day Appliance Repairs,0739930066,johannesburg,appliance-repair
Platinum Appliance Repairs,0605085853,johannesburg,appliance-repair
Ikaya Appliance Repairs,0102371185,johannesburg,appliance-repair
Timed Appliance Repair,0680826761,johannesburg,appliance-repair
Focus Appliance Repairs,0786883097,johannesburg,appliance-repair
Allen Refridgeration & Appliance Repairs,0849701663,alberton,appliance-repair
B J C Appliance Repairs Boksburg,0680783499,johannesburg,appliance-repair
Abella Appliances Fridge Repairs,0722907090,alberton,appliance-repair
MultiCare Appliance Repairs,0781971686,johannesburg,appliance-repair
Fix Appliances,0114369286,johannesburg,appliance-repair
At Appliance service and repairs,0781570544,johannesburg,appliance-repair
MVT Appliance Repairs,0837108218,johannesburg,appliance-repair
Shelly Appliance Repairs,0727725008,johannesburg,appliance-repair
Wisdom Appliances Repair Pty Ltd,0813218163,alberton,appliance-repair
Alberton Refrigeration,0119073631,johannesburg,appliance-repair
Repair Paradise,0672310115,johannesburg,appliance-repair
LETRICS FRIDGE REPAIRS,0612836898,johannesburg,appliance-repair
Mama Appliance Repairs,0781649253,johannesburg,appliance-repair
Gauteng Tv sales and Repairs,0118698391,alberton,appliance-repair
A.S Appliances Repair,0734388743,randburg,appliance-repair
WeFix Appliance Repairs,0790260373,johannesburg,appliance-repair
