name,phone,city,category
Smartcare Cleaning Services Pty Ltd,0730079982,cape-town,cleaning-services
Mj cleaning services,0608657066,cape-town,cleaning-services
FarAbove Cleaning Solutions,0712055576,cape-town,cleaning-services
Sophia's Clean,0833999974,cape-town,cleaning-services
Smart Cleaning Services Hermanus,0826709671,hermanus,cleaning-services
Sons of Hygiene,0796904365,cape-town,cleaning-services
BlingBling Cleaning Services,0605255018,cape-town,cleaning-services
Bright Bay Cleaners,0608648301,cape-town,cleaning-services
South Cape Cleaning and Hygiene,0645472525,cape-town,cleaning-services
Resolve Cleaning Services,0219110344,cape-town,cleaning-services
West Coast Cleaners PTY Ltd,0793658668,cape-town,cleaning-services
Ellen's Cleaning Services,0611953838,cape-town,cleaning-services
Maid Simple Cape Town,0834614549,cape-town,cleaning-services
Mossel bay Cleaning Services,0616584451,cape-town,cleaning-services
Get Clean Cleaning Service,0630046483,cape-town,cleaning-services
Workserve Stellenbosch Somerset West,0213001373,cape-town,cleaning-services
Cleaning & Hygiene Specialists Winelands,0212064960,stellenbosch,cleaning-services
Imperial Cleaning Services,0215553432,cape-town,cleaning-services
Group 1 Cleaning Services,0615026364,cape-town,cleaning-services
Hope Cleaning Services,0813293177,cape-town,cleaning-services
Broomstix House Cleaning Services,0218551631,cape-town,cleaning-services
Western Cape Carpet & Upholstery Cleaning,0781737462,cape-town,cleaning-services
CLiCK Cleaning West Coast,0711174859,cape-town,cleaning-services
JVR Cleaning Services,0768258180,cape-town,cleaning-services
Extreme Clean,0836030355,cape-town,cleaning-services
Workserve Paarl,0213000656,paarl,cleaning-services
Cleaning & Hygiene Specialists Cape Town South,0217881043,cape-town,cleaning-services
Maid Simple,0218515111,cape-town,cleaning-services
Broomstix Hermanus,0724641305,hermanus,cleaning-services
Velamiso Cleaning Services,0817069211,cape-town,cleaning-services
Marvellous Maids Somerset West,0645514356,somerset-west,cleaning-services
Milisuthando Cleaning Services,0618495790,cape-town,cleaning-services
Cape Cleaners,0742705488,cape-town,cleaning-services
Kleen Up Deep Cleaning Specialists,0217452392,cape-town,cleaning-services
MARLIN AND FAMILY CLEANING SERVICES,0630544062,cape-town,cleaning-services
Sweepsouth,0877110573,cape-town,cleaning-services
Tania cleaning service pty Ltd,0618974554,cape-town,cleaning-services
Cape Luxe Cleaning,0878222420,cape-town,cleaning-services
Super Cleaning,0729026997,cape-town,cleaning-services
Crisp and Clean Somerset West,0828121426,somerset-west,cleaning-services
