name,phone,city,category
Skitterblink Cleaning Services Head Office,0836554023,johannesburg,cleaning-services
Hygiene Cleaning,0815653345,randburg,cleaning-services
Mobile Maids Cleaning Services,0814205051,johannesburg,cleaning-services
The Cleaning Guys,0615045136,johannesburg,cleaning-services
Deep Touch Cleaning,0614321008,johannesburg,cleaning-services
Solution Girls Cleaning Services,0813917828,johannesburg,cleaning-services
Cleaning Africa Services,0117946665,johannesburg,cleaning-services
Victor Cleaning Solutions,0621127360,johannesburg,cleaning-services
Presto Cleaning Services,0824658115,johannesburg,cleaning-services
Active Corporate Cleaning Services,0116093317,johannesburg,cleaning-services
Yizani services,0677100150,johannesburg,cleaning-services
Cleaning & Hygiene Specialists East Rand,0116099288,johannesburg,cleaning-services
Gentle Cleaning Services,0783176722,johannesburg,cleaning-services
Bumblebee Cleaning Services,0729961908,johannesburg,cleaning-services
Cleangenix PTA East,0827691273,pretoria,cleaning-services
African Corporate Cleaning,0129970576,pretoria,cleaning-services
Freshly glisters cleaning service,0838623788,johannesburg,cleaning-services
Cleaning & Hygiene Specialists Sandton,0116099288,sandton,cleaning-services
Letsie cleaning services Pty Ltd,0836054777,pretoria,cleaning-services
TM Cleaning Solutions,0606841444,johannesburg,cleaning-services
Cleaning & Hygiene Specialists Jhb City South,0871363050,johannesburg,cleaning-services
MH Innovations Pty Ltd,0783407228,johannesburg,cleaning-services
Morning Dew Cleaning Services,0113944421,kempton-park,cleaning-services
Apollo Cleaning Services,0799472926,johannesburg,cleaning-services
Skitterblink Cleaning Services Kempton Park,0762850103,kempton-park,cleaning-services
SP Cleaning Services,0112623991,sandton,cleaning-services
Polished Works,0742684374,johannesburg,cleaning-services
Cleaning Services CPT,0218022605,cape-town,cleaning-services
All Maids,0659208932,johannesburg,cleaning-services
Incredible Cleaning Services,0641974149,pretoria,cleaning-services
Cleaning & Hygiene Specialists Vaal Triangle,0164282839,vereeniging,cleaning-services
Clean n Dusted Services 23 Pty Ltd,0787498918,pretoria,cleaning-services
Adonai Cleaning Services,0647749142,randburg,cleaning-services
NAKISANI CLEANING AND HYGIENE SERVICES,0118240634,alberton,cleaning-services
CLiCK Cleaning Kempton Park,0829649703,kempton-park,cleaning-services
Dempsey Eastrand Cleaners,0717072868,johannesburg,cleaning-services
Tiptop Cleaning Company,0652030482,johannesburg,cleaning-services
Cleaning services and Carpet cleaning,0679266921,johannesburg,cleaning-services
