name,phone,city,category
KBS Electrical Contractors,0633326250,cape-town,electricians
GJS Electrical,0676573688,cape-town,electricians
Sanddrift Plumbers & Electricians Cape Town,0786064690,cape-town,plumbers
A Plus Electrical Solutions,0670133273,cape-town,electricians
VKT Electrical Residential & Commercial Electrical Contractor,0628915727,cape-town,electricians
Silverhurst Plumbers & Electricians Cape Town,0832308846,cape-town,plumbers
Qualified Electrician somzi,0846752841,cape-town,electricians
Harris Electrical CC,0215116216,cape-town,electricians
Dudley Bros Electricians,0812651700,cape-town,electricians
W.G Dixon Electricians Sea Point,0829201549,cape-town,electricians
SP.ELECTRICIANS PTY LTD 24/7,0681962783,cape-town,electricians
Mcgregors Electrical,0790100771,cape-town,electricians
Imperial Power Electrical Contractors,0860995292,cape-town,electricians
Zalin Electrical,0823025034,cape-town,electricians
SDC Electrical cc,0214388807,cape-town,electricians
COC ELECTRICAL,0711771234,cape-town,electricians
RRR Electrical PTY LTD,0735686070,cape-town,electricians
W and F Electrical Contractors,0217613956,cape-town,electricians
Thomas Electrical,0867820047,cape-town,electricians
Electrician CPT,0677249789,cape-town,electricians
Jeh Electrical,0823714841,cape-town,electricians
LMS Electrical & Construction Cape Town,0827799834,cape-town,electricians
Bright On Electrical,0619171215,cape-town,electricians
LCK Electrical Engineering Pty Ltd,0215930565,cape-town,electricians
Cape Electric Pro,0837522279,cape-town,electricians
Electricians Cape Town,0825268793,cape-town,electricians
Crawford Plumbers & Electricians Cape Town,0835963671,cape-town,plumbers
Electricians Bellville,0737506568,bellville,electricians
Padis Electrical,0796157437,cape-town,electricians
Procon Electrical,0218500020,cape-town,electricians
Lux Solar Electrical,0672090493,cape-town,electricians
Crystal Peace Electrical,0798185555,cape-town,electricians
All Volts Electrical,0219512452,cape-town,electricians
Cronus Electrical Pty Ltd,0662249284,cape-town,electricians
ELECTROSPEC Compliance,0217827915,cape-town,electricians
Wadefields Electrical Western Cape PTY LTD T/A WE DO SOLAR,0827816791,cape-town,electricians
JBM Plumbing & Electrical,0736744062,cape-town,electricians
