name,phone,city,category
Brits Electric,0780183922,pretoria,electricians
AJ ELECTRICAL ENGINEERING Worcester,0743452169,cape-town,electricians
Garlicks Electrical,0734303000,cape-town,electricians
Reynolds Elektries Worcester,0233474080,cape-town,electricians
Paarl-Eike Electrical,0646377952,paarl,electricians
Valley Electrical Contractors,0215520727,cape-town,electricians
Kin Electrical,0210651623,cape-town,electricians
Sparks Electrical Pty Ltd,0823387925,cape-town,electricians
C.J.ELECTRICAL Robertson,0723520647,paarl,electricians
R & R ELECTRICAL,0641437036,cape-town,electricians
Oosthuizen Solar and Electrical,0635012986,cape-town,electricians
Electrician Western Cape,0217044798,cape-town,electricians
Johan's Electrical Services Pty Ltd,0728288169,cape-town,electricians
Franken Electrical Grabouw,0762159099,hermanus,electricians
Last Man Electrical,0848079509,cape-town,electricians
Richie Rich Electrical Cape Town,0723490286,cape-town,electricians
Terayne Electrical Maintenance,0448747860,george,electricians
BP Electrical Betty's Bay,0735764174,hermanus,electricians
Falko Elektries Piketberg,0797816085,paarl,electricians
Dayline Electrical,0619889212,cape-town,electricians
Harvey Electrical & Lighting Hermanus,0833390258,hermanus,electricians
JD Electrical Contractors JD Group Services,0218728899,paarl,electricians
Amptech Electric,0722784476,cape-town,electricians
Jaco Groenewald Electrical Grabouw,0218594544,hermanus,electricians
Electrofix Electrical Pty Ltd,0603415115,cape-town,electricians
NASH ELECTRICAL ENGINEERING Robertson,0846949434,paarl,electricians
Harness Electrical Onrusrivier,0827852017,hermanus,electricians
F&S Electrical Pty Ltd Worcester,0746047777,cape-town,electricians
Line & Light Electrical and Solar Company,0763456806,stellenbosch,electricians
AP ELECTRICAL PTY LTD Tulbagh,0785180555,paarl,electricians
SWV Electrical,0724805848,cape-town,electricians
Noorder Paarl Elektries t/a Altmar,0218723816,paarl,electricians
Noble Electrical Contractors CC,0218531748,cape-town,electricians
Southern Light Electrical,0631025076,cape-town,electricians
Kirsten Electric CC,0218545483,cape-town,electricians
