name,phone,city,category
HawkVision CCTV Solutions,0795876037,cape-town,security-cctv
St3 Security Cape Town,0219053399,cape-town,security-cctv
SafeLink Systems Pty Ltd,0730768211,cape-town,security-cctv
NCIS Surveillance Security Solar Swellendam,0878062713,cape-town,security-cctv
EAGLE SECURITY Gansbaai,0283843792,gansbaai,security-cctv
Deep Blue Security,0217907901,cape-town,security-cctv
SRG Security formerly Response Team,0214344400,cape-town,security-cctv
Security Fog Full Circle Group,0875512832,cape-town,security-cctv
AC Security Worcester,0233427050,cape-town,security-cctv
4d Security Solutions,0815540030,cape-town,security-cctv
Baruch Security Services Paarl,0212240777,paarl,security-cctv
Bassett Burglar Alarms,0861227388,cape-town,security-cctv
Data Surveillance Security Systems DSSS,0824501741,cape-town,security-cctv
CDF Security Civil Defence Force,0211100911,cape-town,security-cctv
Southern Cross Security Services Paarl,0877025296,paarl,security-cctv
Bokwe's Security Services,0215340522,cape-town,security-cctv
