name,phone,city,category
Point Solar,0220220240,cape-town,solar-installers
oneSolar Cape Town,0217900634,cape-town,solar-installers
KTT Solar Solutions,0710630686,cape-town,solar-installers
Absolute Solar and Maintenance,0795748078,stellenbosch,solar-installers
Local Electrician & Solar Energy,0658395070,cape-town,solar-installers
Solar Power Solutions South Africa,0722656936,cape-town,solar-installers
Rescon Solar,0724419771,cape-town,solar-installers
SolarElectricWise,0835719191,cape-town,solar-installers
World Of Sun & Wind Power Cape Town,0651476680,cape-town,solar-installers
New Tech Power,0215561366,cape-town,solar-installers
Urban Eden,0210073609,cape-town,solar-installers
Solar Dot Com,0213916620,cape-town,solar-installers
Solar Spot,0780129105,cape-town,solar-installers
Fuesse Solar,0829712254,cape-town,solar-installers
Solar Guru Cape Town,0105005701,cape-town,solar-installers
Thorne Solar t/a Thorne Energy,0228800601,cape-town,solar-installers
