name,phone,city,category
Solar EPC Turning Power into Profit,0107463752,roodepoort,solar-installers
Sakisa Energy & Technology Group,0714715089,sandton,solar-installers
SOCO ENERGY,0639004426,johannesburg,solar-installers
Delsat Solar Energy,0106340901,midrand,solar-installers
ELECTRICAL 24 HOUR AND SOLAR FOR AFRICA,0784082129,kempton-park,solar-installers
LRER Solar & Electrical Specialists,0733183927,vereeniging,solar-installers
Solarfinity Solar & Security,0720594952,kempton-park,solar-installers
Metrowatt Head Office,0107300660,johannesburg,solar-installers
Affordable Power Solutions APS,0102350519,johannesburg,solar-installers
GRO Power Electrical and Solar,0838568110,johannesburg,solar-installers
LOOK UP SOLAR,0645532002,pretoria,solar-installers
LOUW SOLAR,0849201371,pretoria,solar-installers
Solar Man,0128091525,pretoria,solar-installers
Green Solar Guys,0605310599,johannesburg,solar-installers
YeahSA Solar,0682291550,johannesburg,solar-installers
GC Solar JHB North,0108237007,roodepoort,solar-installers
LNE Solutions Pty Ltd,0812186801,alberton,solar-installers
SolarAfrica Energy,0128814800,pretoria,solar-installers
B SEC Solar Energy,0824807461,johannesburg,solar-installers
Granville Energy,0104500211,sandton,solar-installers
Bundu Power,0113977373,johannesburg,solar-installers
AM Solar,0655664847,johannesburg,solar-installers
Solar Pro SA,0747637592,pretoria,solar-installers
Tariq Solar Installations Pty Ltd,0792897355,cape-town,solar-installers
Doitsolar,0631552942,johannesburg,solar-installers
