name,slug,phone,city,category,website,email,claim_page_url,invitation_sent_at
001 APPLIANCE ON SITE REPAIRS,001-appliance-on-site-repairs,0828702955,Cape Town,Appliance Repair,,,https://findpro.co.za/business/001-appliance-on-site-repairs,
24/7 CARE Electrical & Plumbing,247-care-electrical-and-plumbing,0829367640,Johannesburg,Plumbers,,,https://findpro.co.za/business/247-care-electrical-and-plumbing,
247eaglefridgerepairs Pty Ltd,247eaglefridgerepairs-pty-ltd,0630877637,Johannesburg,Electricians,,,https://findpro.co.za/business/247eaglefridgerepairs-pty-ltd,
4d Security Solutions,4d-security-solutions,0815540030,Cape Town,Security / CCTV,,,https://findpro.co.za/business/4d-security-solutions,
A Ability Electrical and Projects,a-ability-electrical-and-projects,0710747070,Johannesburg,Electricians,,,https://findpro.co.za/business/a-ability-electrical-and-projects,
Abella Appliances Fridge Repairs,abella-appliances-fridge-repairs,0722907090,Alberton,Appliance Repair,,,https://findpro.co.za/business/abella-appliances-fridge-repairs,
Absolute Solar and Maintenance,absolute-solar-and-maintenance,0795748078,Stellenbosch,Solar Installers,,,https://findpro.co.za/business/absolute-solar-and-maintenance,
A C I Electrical & Plumbing Helderberg,a-c-i-electrical-and-plumbing-helderberg,0824600849,Somerset West,Plumbers,,,https://findpro.co.za/business/a-c-i-electrical-and-plumbing-helderberg,
AC Security Worcester,ac-security-worcester,0233427050,Cape Town,Security / CCTV,,,https://findpro.co.za/business/ac-security-worcester,
Active Corporate Cleaning Services,active-corporate-cleaning-services,0116093317,Johannesburg,Cleaning Services,,,https://findpro.co.za/business/active-corporate-cleaning-services,
Adonai Cleaning Services,adonai-cleaning-services,0647749142,Randburg,Cleaning Services,,,https://findpro.co.za/business/adonai-cleaning-services,
Affordable Nutec Houses,affordable-nutec-houses,0782657935,Cape Town,Renovations / Builders,,,https://findpro.co.za/business/affordable-nutec-houses,
Affordable Power Solutions APS,affordable-power-solutions-aps,0102350519,Johannesburg,Solar Installers,,,https://findpro.co.za/business/affordable-power-solutions-aps,
Africa Key Security Services,africa-key-security-services,0128091133,Pretoria,Security / CCTV,,,https://findpro.co.za/business/africa-key-security-services,
African Corporate Cleaning,african-corporate-cleaning,0129970576,Pretoria,Cleaning Services,,,https://findpro.co.za/business/african-corporate-cleaning,
AFRICAN EAGLE PROJECTS,african-eagle-projects,0622338547,Cape Town,Renovations / Builders,,,https://findpro.co.za/business/african-eagle-projects,
AGS Plumbing Maintenance and Renovations Cape Town,ags-plumbing-maintenance-and-renovations-cape-town,0215562941,Cape Town,Plumbers,,,https://findpro.co.za/business/ags-plumbing-maintenance-and-renovations-cape-town,
AJ ELECTRICAL ENGINEERING Worcester,aj-electrical-engineering-worcester,0743452169,Cape Town,Electricians,,,https://findpro.co.za/business/aj-electrical-engineering-worcester,
AJ's and Sons Pest Control Specialists,ajs-and-sons-pest-control-specialists,0219131930,Cape Town,Pest Control,,,https://findpro.co.za/business/ajs-and-sons-pest-control-specialists,
Alberton Appliance Repairs,alberton-appliance-repairs,0723494747,Alberton,Appliance Repair,,,https://findpro.co.za/business/alberton-appliance-repairs,
Alberton Construction Company Pty Ltd,alberton-construction-company-pty-ltd,0119073530,Alberton,Renovations / Builders,,,https://findpro.co.za/business/alberton-construction-company-pty-ltd,
Alberton Refrigeration,alberton-refrigeration,0119073631,Johannesburg,Appliance Repair,,,https://findpro.co.za/business/alberton-refrigeration,
Alfred Plumbing Maintenance And Renovations,alfred-plumbing-maintenance-and-renovations,0684856974,Cape Town,Plumbers,,,https://findpro.co.za/business/alfred-plumbing-maintenance-and-renovations,
Ali and Will Construction and Logistics,ali-and-will-construction-and-logistics,0105160688,Johannesburg,Renovations / Builders,,,https://findpro.co.za/business/ali-and-will-construction-and-logistics,
Alingo Pest control services,alingo-pest-control-services,0840878169,Johannesburg,Pest Control,,,https://findpro.co.za/business/alingo-pest-control-services,
Allen Refridgeration & Appliance Repairs,allen-refridgeration-and-appliance-repairs,0849701663,Alberton,Appliance Repair,,,https://findpro.co.za/business/allen-refridgeration-and-appliance-repairs,
Allied Pest Management Solutions,allied-pest-management-solutions,0845031532,Johannesburg,Pest Control,,,https://findpro.co.za/business/allied-pest-management-solutions,
All In One Appliance Repair,all-in-one-appliance-repair,0616113762,Johannesburg,Appliance Repair,,,https://findpro.co.za/business/all-in-one-appliance-repair,
All Maids,all-maids,0659208932,Johannesburg,Cleaning Services,,,https://findpro.co.za/business/all-maids,
Alloys Painters,alloys-painters,0218523669,Cape Town,Painters,,,https://findpro.co.za/business/alloys-painters,
All Volts Electrical,all-volts-electrical,0219512452,Cape Town,Electricians,,,https://findpro.co.za/business/all-volts-electrical,
Alpha Force Plumbing,alpha-force-plumbing,0678969785,Cape Town,Plumbers,,,https://findpro.co.za/business/alpha-force-plumbing,
AL Willemse Construction,al-willemse-construction,0725238866,Cape Town,Renovations / Builders,,,https://findpro.co.za/business/al-willemse-construction,
Amazein Gardens Pty Ltd,amazein-gardens-pty-ltd,0792101560,Cape Town,Garden / Landscaping,,,https://findpro.co.za/business/amazein-gardens-pty-ltd,
Amptech Electric,amptech-electric,0722784476,Cape Town,Electricians,,,https://findpro.co.za/business/amptech-electric,
AM Solar,am-solar,0655664847,Johannesburg,Solar Installers,,,https://findpro.co.za/business/am-solar,
Anchor Plumbing,anchor-plumbing,0743472409,Cape Town,Plumbers,,,https://findpro.co.za/business/anchor-plumbing,
Ant Lab,ant-lab,0843800626,Johannesburg,Pest Control,,,https://findpro.co.za/business/ant-lab,
Anton van den Eijkel Painters & Renovators,anton-van-den-eijkel-painters-and-renovators,0832258000,Cape Town,Painters,,,https://findpro.co.za/business/anton-van-den-eijkel-painters-and-renovators,
A One Plumbers,a-one-plumbers,0834061585,Sandton,Plumbers,,,https://findpro.co.za/business/a-one-plumbers,
AP ELECTRICAL PTY LTD Tulbagh,ap-electrical-pty-ltd-tulbagh,0785180555,Paarl,Electricians,,,https://findpro.co.za/business/ap-electrical-pty-ltd-tulbagh,
A Plumber 4 You,a-plumber-4-you,0795179537,Johannesburg,Plumbers,,,https://findpro.co.za/business/a-plumber-4-you,
A Plus Electrical Solutions,a-plus-electrical-solutions,0670133273,Cape Town,Electricians,,,https://findpro.co.za/business/a-plus-electrical-solutions,
Apollo Cleaning Services,apollo-cleaning-services,0799472926,Johannesburg,Cleaning Services,,,https://findpro.co.za/business/apollo-cleaning-services,
Appliance Clinic Bredasdorp,appliance-clinic-bredasdorp,0824424607,Cape Town,Appliance Repair,,,https://findpro.co.za/business/appliance-clinic-bredasdorp,
Appliance repair cape town,appliance-repair-cape-town,0210101707,Cape Town,Appliance Repair,,,https://findpro.co.za/business/appliance-repair-cape-town,
Appliance Repair Cape Town Washing Machine Tumble Dryer,appliance-repair-cape-town-washing-machine-tumble-dryer,0761575653,Cape Town,Appliance Repair,,,https://findpro.co.za/business/appliance-repair-cape-town-washing-machine-tumble-dryer,
Appliance Repair Centre Bellville,appliance-repair-centre-bellville,0219461615,Bellville,Appliance Repair,,,https://findpro.co.za/business/appliance-repair-centre-bellville,
Appliance repairs,appliance-repairs,0739386011,Johannesburg,Appliance Repair,,,https://findpro.co.za/business/appliance-repairs,
Appliance repairs assistances,appliance-repairs-assistances,0725884702,Cape Town,Appliance Repair,,,https://findpro.co.za/business/appliance-repairs-assistances,
Appliance Repairs Cape Town,appliance-repairs-cape-town,0742795468,Cape Town,Appliance Repair,,,https://findpro.co.za/business/appliance-repairs-cape-town,
Appliance Repairs James George,appliance-repairs-james-george,0716036322,George,Appliance Repair,,,https://findpro.co.za/business/appliance-repairs-james-george,
Appliance Repair Specialists Kleinmond,appliance-repair-specialists-kleinmond,0662131493,Hermanus,Appliance Repair,,,https://findpro.co.za/business/appliance-repair-specialists-kleinmond,
Appliances Repairs,appliances-repairs,0659938976,Johannesburg,Appliance Repair,,,https://findpro.co.za/business/appliances-repairs,
Appliances Repair tv and audio,appliances-repair-tv-and-audio,0735957616,Johannesburg,Appliance Repair,,,https://findpro.co.za/business/appliances-repair-tv-and-audio,
Appliance Technicians,appliance-technicians,0218022813,Cape Town,Appliance Repair,,,https://findpro.co.za/business/appliance-technicians,
AP Repair Centre On-Site Appliance Repairs,ap-repair-centre-on-site-appliance-repairs,0676186990,Cape Town,Appliance Repair,,,https://findpro.co.za/business/ap-repair-centre-on-site-appliance-repairs,
Aquateq Plumbing Pty Ltd,aquateq-plumbing-pty-ltd,0731509057,Paarl,Plumbers,,,https://findpro.co.za/business/aquateq-plumbing-pty-ltd,
Aquaview Plumbing Plumber Parklands,aquaview-plumbing-plumber-parklands,0825947531,Cape Town,Plumbers,,,https://findpro.co.za/business/aquaview-plumbing-plumber-parklands,
Archecon Construction,archecon-construction,0125476089,Pretoria,Renovations / Builders,,,https://findpro.co.za/business/archecon-construction,
A.S Appliances Repair,as-appliances-repair,0734388743,Randburg,Appliance Repair,,,https://findpro.co.za/business/as-appliances-repair,
Ash Plumb and Electrical,ash-plumb-and-electrical,0745299805,Cape Town,Plumbers,,,https://findpro.co.za/business/ash-plumb-and-electrical,
Aspidistra Landscaping and Skips,aspidistra-landscaping-and-skips,0824929972,Stellenbosch,Garden / Landscaping,,,https://findpro.co.za/business/aspidistra-landscaping-and-skips,
Assured Home Painters and Construction,assured-home-painters-and-construction,0624615237,Cape Town,Painters,,,https://findpro.co.za/business/assured-home-painters-and-construction,
Astute Building Solutions,astute-building-solutions,0739415418,Cape Town,Renovations / Builders,,,https://findpro.co.za/business/astute-building-solutions,
